TOAN,NGU VAN,TIENG ANH,LICH SU,DIA LI,GDCD,NAM
4.4,5.75,,,5.5,,2017
4,5,,,3.5,,2017
2.8,4.75,,,7.75,,2017
2.2,5.25,,,6.5,,2017
3.8,5.25,,,6.5,,2017
3.4,6,,,5,,2017
3,2.75,2.4,,,,2017
3.2,5.25,,,5,8.75,2017
2.6,4.25,,,3,,2017
2.2,5,2.2,,,,2017
3,5.25,,,6,,2017
3.4,6,,,5,,2017
2.2,4.25,,,4.5,6.75,2017
2.8,3.75,,,7,,2017
2.6,4.5,,,3.5,5.75,2017
3.2,2.5,,,5,6.25,2017
3,4.25,,,6.25,,2017
3.4,3,,,4,6.25,2017
3.8,3,,,7.75,,2017
2.2,5,,,5.75,6.5,2017
3.8,5,,,6,,2017
3.6,5.25,,,8,9.5,2017
3.2,5,,,4.75,,2017
3.2,3.5,2.2,,,,2017
3,3.25,,,3.5,,2017
2.8,2.75,,,4.5,,2017
2,2.75,,,7.5,8.5,2017
1.6,2,1.2,,,,2017
1.6,3.25,2.2,,,,2017
2.2,5.25,3,,,,2017
3.8,2,,,5.5,7.5,2017
3,1.25,,,5.25,5.5,2017
3.6,3,,,4.75,7,2017
2.8,3.75,2.8,,,,2017
3.8,1.25,,,3.75,5.5,2017
0.8,5.75,,,6.25,7.5,2017
3.6,3.75,,,4.5,,2017
2.8,2.5,2.8,,,,2017
3.2,3.25,2,,,,2017
2.2,5.25,,,6,6.75,2017
4,4.5,4.8,,,,2017
3.8,4.25,,,4.25,,2017
1.6,3.25,,,4.25,6.75,2017
2.6,6,,,6.25,7.5,2017
2.8,4.25,,,4.5,7,2017
5.4,5,,,,,2017
2.2,3.75,,,,,2017
3,5.5,,,5.75,7.25,2017
2.2,4,,,5,7.25,2017
4,7.5,,,7,8.5,2017
2,4,,,,,2017
1.6,2,,,4.25,7.75,2017
2.2,3.75,,,5.5,7.75,2017
1.8,5.75,,,6.75,8.5,2017
3.6,2,,,3.5,5,2017
3.2,4.75,,,4.75,5.75,2017
4.8,4.25,,,5.25,,2017
3,3.5,,,3,,2017
3.4,2.5,,,3.25,,2017
2.6,2.75,,,3.25,6.5,2017
3.4,,4,,,,2017
3.4,3.5,,,4.75,,2017
3.2,4.5,,,5,7.5,2017
3.2,3,,,4,,2017
4,2.5,,,5.5,,2017
2.6,3.75,,,6.25,,2017
3,4,,,7.75,,2017
3.4,6.25,,,5,,2017
3.4,4.75,,,4.5,,2017
4,5.75,,,4.5,,2017
3.4,1.25,,,4.5,,2017
4.6,3.75,,,7.75,,2017
3,3.25,,,6.25,,2017
3.6,3.5,,,5.25,,2017
3.4,4.75,3.8,,,,2017
2.2,5.5,,,6,7.75,2017
1.8,3.5,,,6.75,8.5,2017
3,5,,,4.75,8.5,2017
2.4,1.5,,,3,,2017
4.2,3,,,3.75,,2017
3.2,4.75,2.8,,,,2017
3,2.5,,,4,7.5,2017
2.6,4.5,,,4.25,7.5,2017
2.6,4.5,,,5,7.25,2017
4.8,6.75,3.2,,,,2017
4.2,7,,,9,9.5,2017
3.4,3.75,,,7,9.5,2017
,4.25,,,5.75,,2017
1.6,5.75,,,3.5,6,2017
4.8,5,3.6,,,,2017
5.4,8,,,7,8.75,2017
4.6,5.75,,,7.75,8.25,2017
2.6,3,,,5.25,7.25,2017
3,3.25,,,5.5,7,2017
3.4,3.25,,,,,2017
4.4,5.75,,,5.75,9.25,2017
2.8,3.75,,,4.5,6.75,2017
6.6,5.25,3.6,,,,2017
4.4,5.25,4.4,,,,2017
3.4,4.5,,,6.25,9,2017
3.6,6.5,2.8,,,,2017
3.2,5.75,2.6,,,,2017
3.2,7,3.4,,,,2017
2.8,5.75,,,5.75,8.75,2017
2.4,4,,,5,8.5,2017
2.8,3.75,,,5.5,7.25,2017
2.4,2.5,,,4.5,3.5,2017
2.8,6.25,,,5.5,7.75,2017
1,3.5,3.6,,,,2017
2.8,4.5,,,5,7,2017
4.2,4.25,,,6.75,8.25,2017
2.8,3.5,,,3.75,6.25,2017
3,3.75,,,5.5,7,2017
4.8,3.75,,,4,,2017
2.8,5.75,,,4.75,,2017
2.6,5.5,,,8.25,8,2017
4.2,2.5,,,3.75,,2017
3.6,4,,,4.25,,2017
2.6,3,,,2.5,,2017
4.6,5.75,,,5.75,8.5,2017
1.6,4.5,,,5.25,6.75,2017
4,5,2.6,,,,2017
3.6,1.75,,,4.5,,2017
3.6,5.25,3,,,,2017
6.2,4.75,2.8,,,,2017
3.6,3.25,,,3,,2017
5.6,6.75,5,,,,2017
4.2,4.25,,,5.5,,2017
